"","2019_12","V2"
"96",206.346740722656,32
"97",293.369659423828,33
"98",142.39485168457,33
"99",200.055999755859,33
"100",295.809906005859,34
"101",149.656951904297,34
"102",220.238494873047,34
"103",309.491180419922,35
"104",144.847549438477,35
"105",205.049758911133,35
"106",314.543853759766,36
"107",143.163040161133,36
"108",195.132614135742,36
"109",315.163391113281,37
"110",143.142730712891,37
"111",205.555053710938,37
"112",296.943511962891,38
"113",140.490371704102,38
"114",204.29670715332,38
"115",302.193725585938,39
"116",144.488433837891,39
"117",211.420166015625,39
"118",293.406433105469,40
"119",140.448577880859,40
"120",220.234970092773,40
"121",285.230590820312,41
"122",160.585708618164,41
"123",225.68537902832,41
"124",287.276062011719,42
"125",159.143249511719,42
"126",228.381698608398,42
"127",285.618041992188,43
"128",143.331924438477,43
"129",210.36213684082,43
"130",291.611053466797,44
"131",153.919845581055,44
"132",215.360961914062,44
"133",290.077239990234,45
"134",144.460586547852,45
"135",215.458358764648,45
"136",295.791656494141,46
"137",154.611343383789,46
"138",227.556976318359,46
"139",295.791656494141,47
"140",154.611343383789,47
"141",227.556976318359,47
"142",298.538146972656,48
"143",145.689178466797,48
"144",223.192291259766,48
"145",295.791656494141,49
"146",154.611343383789,49
"147",227.556976318359,49
"148",295.641632080078,50
"149",155.255279541016,50
"150",229.873062133789,50
"151",289.062286376953,51
"152",148.442672729492,51
"153",207.221466064453,51
"154",290.683990478516,52
"155",152.209609985352,52
"156",217.294921875,52
"157",282.629669189453,53
"158",145.426620483398,53
"159",201.045318603516,53
"160",290.482940673828,54
"161",151.982666015625,54
"162",217.652389526367,54
"163",286.309814453125,55
"164",147.234481811523,55
"165",205.502410888672,55
"166",295.058044433594,56
"167",148.969467163086,56
"168",211.839385986328,56
"169",306.547271728516,57
"170",133.260818481445,57
"171",201.038879394531,57
"172",299.34375,58
"173",141.680603027344,58
"174",201.850769042969,58
"175",293.338165283203,59
"176",140.906692504883,59
"177",194.236999511719,59
"178",285.139953613281,60
"179",150.512985229492,60
"180",208.240051269531,60
"181",293.213958740234,61
"182",140.954040527344,61
"183",193.507247924805,61
"184",284.342254638672,62
"185",151.453674316406,62
"186",208.175109863281,62
"187",285.714172363281,63
"188",147.476181030273,63
"189",205.978881835938,63
"190",285.714172363281,64
"191",147.476181030273,64
"192",205.978881835938,64
"193",293.258392333984,65
"194",140.804306030273,65
"195",192.997665405273,65
"196",282.701690673828,66
"197",153.383438110352,66
"198",207.908126831055,66
"199",293.192443847656,67
"200",140.883590698242,67
"201",193.69677734375,67
"202",283.700622558594,68
"203",152.166213989258,68
"204",208.091674804688,68
"205",293.123626708984,69
"206",140.954956054688,69
"207",193.47917175293,69
"208",284.622924804688,70
"209",151.07795715332,70
"210",207.810928344727,70
"211",285.948669433594,71
"212",146.979721069336,71
"213",206.987319946289,71
"214",293.338165283203,72
"215",140.906692504883,72
"216",194.236999511719,72
"217",285.964172363281,73
"218",147.431518554688,73
"219",206.671447753906,73
"220",289.007232666016,74
"221",143.549774169922,74
"222",195.791717529297,74
"223",289.064270019531,75
"224",146.006088256836,75
"225",210.127792358398,75
"226",318.835754394531,76
"227",147.76708984375,76
"228",212.808059692383,76
"229",313.230834960938,77
"230",152.549041748047,77
"231",208.071884155273,77
"232",311.566467285156,78
"233",149.107574462891,78
"234",220.467758178711,78
"235",293.2021484375,79
"236",148.951965332031,79
"237",206.492370605469,79
"238",293.2021484375,80
"239",148.951965332031,80
"240",206.492370605469,80
"241",300.421905517578,81
"242",141.517883300781,81
"243",212.036468505859,81
"244",303.684661865234,82
"245",136.496200561523,82
"246",194.410980224609,82
"247",305.003814697266,83
"248",147.386184692383,83
"249",208.945358276367,83
"250",305.675720214844,84
"251",144.816146850586,84
"252",205.193298339844,84
"253",305.787445068359,85
"254",128.643890380859,85
"255",195.169006347656,85
"256",307.81689453125,86
"257",143.683532714844,86
"258",195.43571472168,86
"259",291.546112060547,87
"260",128.828857421875,87
"261",209.384918212891,87
