"","2019_12","V2"
"1",281.353424072266,1
"2",150.041854858398,1
"3",202.587463378906,1
"4",283.524017333984,2
"5",147.484069824219,2
"6",207.124526977539,2
"7",285.716979980469,3
"8",144.063903808594,3
"9",198.988220214844,3
"10",291.11181640625,4
"11",140.177947998047,4
"12",200.778869628906,4
"13",297.057342529297,5
"14",144.637542724609,5
"15",200.471755981445,5
"16",284.375579833984,6
"17",142.264190673828,6
"18",198.134735107422,6
"19",290.151794433594,7
"20",145.852111816406,7
"21",211.22119140625,7
"22",272.934814453125,8
"23",146.498748779297,8
"24",225.698028564453,8
"25",285.468536376953,9
"26",143.087097167969,9
"27",210.105499267578,9
"28",275.512420654297,10
"29",147.825332641602,10
"30",207.239959716797,10
"31",296.427795410156,11
"32",146.061248779297,11
"33",197.319076538086,11
"34",288.352935791016,12
"35",147.676055908203,12
"36",204.717376708984,12
"37",296.379455566406,13
"38",145.876205444336,13
"39",201.755325317383,13
"40",298.762634277344,14
"41",149.907196044922,14
"42",208.521102905273,14
"43",301.929229736328,15
"44",139.199951171875,15
"45",201.67805480957,15
"46",302.315032958984,16
"47",148.168197631836,16
"48",216.523498535156,16
"49",287.361999511719,17
"50",148.021041870117,17
"51",211.651962280273,17
"52",293.199310302734,18
"53",149.011856079102,18
"54",224.832321166992,18
"55",287.109558105469,19
"56",148.052993774414,19
"57",211.671310424805,19
"58",288.204956054688,20
"59",145.187210083008,20
"60",203.794784545898,20
"61",287.001129150391,21
"62",147.723266601562,21
"63",209.553298950195,21
"64",298.250823974609,22
"65",145.625350952148,22
"66",216.685165405273,22
"67",282.455474853516,23
"68",147.21174621582,23
"69",213.193328857422,23
"70",294.328063964844,24
"71",140.151947021484,24
"72",192.708572387695,24
"73",285.918395996094,25
"74",146.694534301758,25
"75",212.13948059082,25
"76",285.591918945312,26
"77",151.371887207031,26
"78",209.632278442383,26
"79",302.338806152344,27
"80",143.201141357422,27
"81",204.290954589844,27
"82",277.366607666016,28
"83",145.339111328125,28
"84",206.962371826172,28
"85",292.169219970703,29
"86",143.328689575195,29
"87",194.70979309082,29
"88",285.419616699219,30
"89",143.709579467773,30
"90",196.701843261719,30
"91",281.149536132812,31
"92",155.35139465332,31
"93",220.872909545898,31
"94",305.542083740234,32
"95",144.907958984375,32
