Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
1901-01-01	0.7	-3.9	-1.3	1.6	-99.9	-99.9	8.6	C_58:R_466	0.78
1901-01-02	0.5	-2.4	-1.9	-1.0	-99.9	-99.9	7.7	C_58:R_466	0.91
1901-01-03	0.0	-7.1	-4.5	-0.6	-99.9	-99.9	7.2	C_58:R_466	0.75
1901-01-04	0.0	-9.4	-7.4	-5.1	-99.9	-99.9	5.6	C_58:R_466	0.81
1901-01-05	0.0	-11.0	-8.7	-5.4	-99.9	-99.9	5.2	C_58:R_466	0.77
1901-01-06	0.0	-13.6	-10.2	-8.4	-99.9	-99.9	4.1	C_58:R_466	0.78
1901-01-07	0.0	-11.2	-7.6	-4.4	-99.9	-99.9	5.2	C_58:R_466	0.73
1901-01-08	0.0	-10.1	-3.5	-0.5	-99.9	-99.9	6.2	C_58:R_466	0.66
1901-01-09	0.0	-2.1	5.9	9.2	-99.9	-99.9	9.9	C_58:R_466	0.64
1901-01-10	0.0	0.0	2.0	8.2	-99.9	-99.9	9.4	C_58:R_466	0.72
1901-01-11	0.0	-0.9	1.4	5.1	-99.9	-99.9	8.1	C_58:R_466	0.77
1901-01-12	0.0	-1.3	0.4	3.2	-99.9	-99.9	7.3	C_58:R_466	0.82
1901-01-13	0.0	-7.8	-2.3	0.4	-99.9	-99.9	5.9	C_58:R_466	0.70
1901-01-14	0.0	-5.6	-2.1	2.9	-99.9	-99.9	6.6	C_58:R_466	0.70
1901-01-15	0.0	-6.6	-0.5	7.7	-99.9	-99.9	7.6	C_58:R_466	0.56
1901-01-16	0.0	-5.0	2.9	9.1	-99.9	-99.9	7.9	C_58:R_466	0.57
1901-01-17	0.0	0.0	3.0	9.1	-99.9	-99.9	7.8	C_58:R_466	0.70
1901-01-18	0.0	-2.1	4.0	9.0	-99.9	-99.9	7.5	C_58:R_466	0.64
1901-01-19	0.0	3.7	6.0	6.9	-99.9	-99.9	6.4	C_58:R_466	0.86
1901-01-20	1.4	3.3	4.5	6.3	-99.9	-99.9	6.1	C_58:R_466	0.87
1901-01-21	0.4	3.7	6.2	7.5	-99.9	-99.9	6.0	C_58:R_466	0.84
1901-01-22	0.4	5.4	5.6	6.3	-99.9	-99.9	5.2	C_58:R_466	0.94
1901-01-23	0.0	0.9	2.8	6.8	-99.9	-99.9	5.5	C_58:R_466	0.78
1901-01-24	0.1	-0.9	2.6	6.0	-99.9	-99.9	5.2	C_58:R_466	0.75
1901-01-25	2.2	2.5	4.0	5.5	-99.9	-99.9	4.6	C_58:R_466	0.87
1901-01-26	2.1	-0.7	1.6	3.2	-99.9	-99.9	4.0	C_58:R_466	0.84
1901-01-27	5.2	0.8	5.3	7.5	-99.9	-99.9	4.6	C_58:R_466	0.76
1901-01-28	1.9	0.0	0.7	3.6	-99.9	-99.9	3.6	C_58:R_466	0.85
1901-01-29	0.5	-2.9	-1.5	0.0	-99.9	-99.9	2.8	C_58:R_466	0.86
1901-01-30	1.5	-2.6	-1.2	-0.2	-99.9	-99.9	2.6	C_58:R_466	0.88
1901-01-31	2.6	-1.6	-0.7	0.1	-99.9	-99.9	2.4	C_58:R_466	0.90
1901-02-01	0.0	-0.3	1.0	4.1	-99.9	-99.9	2.8	C_58:R_466	0.82
1901-02-02	0.0	-3.2	-0.6	0.7	-99.9	-99.9	2.1	C_58:R_466	0.83
