POINT_X,POINT_Y,station
51.3358849,13.10070176,"[406, 505]"
51.779996,13.279261,"[356, 514]"
53.753681,13.227606,"[137, 498]"
49.18456,7.32528,"[652, 97]"
53.12736014,11.15714522,"[212, 364]"
50.33433,8.13189,"[525, 157]"
50.42544752,11.90896996,"[511, 426]"
50.43329333,11.86338449,"[510, 423]"
50.44868249,11.84739615,"[509, 421]"
51.99828897,12.89084527,"[333, 486]"
51.99569264,12.86172828,"[333, 484]"
51.97721383,12.84334533,"[336, 483]"
51.96125495,12.87224106,"[337, 485]"
51.94785999,12.90693137,"[339, 488]"
53.06543218,7.922539301,"[221, 147]"
53.06252465,7.919917549,"[221, 147]"
53.0628109,7.879979774,"[221, 144]"
52.97461601,8.498544521,"[232, 185]"
50.84196983,6.706671393,"[466, 58]"
52.30662191,7.327622688,"[305, 105]"
