param_id,irrigation_enabled,stage_temperature_sum_0,stage_temperature_sum_1,stage_temperature_sum_2,stage_temperature_sum_3,stage_temperature_sum_4,vernalisation_requirement,daylength_requirement,max_assimilation_rate,specific_leaf_area_scale,root_penetration_rate,max_rooting_depth,drought_threshold_shift,sowing_shift_days,n_fertilizer_scale,irrigation_amount_mm,irrigation_threshold
P001,True,134.9800483382166,267.21688613506745,323.5102219781955,112.67789561490703,479.41624148275673,56.89410259624925,19.522725352555575,34.315049116761415,1.0783242475438934,0.0008005046019533554,1.1365191549356863,0.013415437639392486,9,1.1794309596682293,6.622634320469068,0.13182877567188117
P002,True,117.21588933916213,286.68772874630497,303.5191585185409,131.75843898972667,518.5152116861995,47.64547403187013,21.07037208806747,24.65840811364343,0.8881162633669248,0.000754160838764441,1.315998369888189,-0.06393162591919965,-4,1.037732325141137,7.180298352028963,0.10110559336958883
P003,False,134.00539643780877,291.9987710959715,343.44792877076696,100.3755841556512,696.3899634427114,53.195875473817736,22.931927195284736,29.748531408410216,0.8602429166076593,0.001105530896891713,1.2288760592730226,0.0662959953115283,1,0.90488089106258,0.0,0.1360114741541995
P004,True,126.48711312839306,311.39620196157904,296.83831852420985,103.02350851575775,657.2008532951083,45.28053704404906,18.571658089402895,31.33156258138682,1.0921989539009775,0.0009529377641214131,1.0812724648557965,-0.053904583017275506,-12,0.8382225948464217,6.173905557407524,0.11151375371339792
P005,False,150.56951658479113,224.07674452485082,313.2521985862056,91.15915178033974,597.3588149788638,50.90088685842012,22.63562459815414,30.823614695578534,1.1383389274263822,0.0009750196541182649,1.358250917749328,-0.08929871878189063,14,1.140474469347588,0.0,0.10021684563123152
P006,False,141.14020446224401,328.1442417083679,370.84978301504424,107.14598065940675,491.97381450287116,43.65313019546517,17.9884503864121,29.12287366184917,1.0334198135183352,0.0009050340483179416,1.565430636918605,-0.13505451144516212,-1,1.0192585992500285,0.0,0.13795158157236362
P007,True,165.3835071771841,297.59617244537515,335.2070003377502,110.75635638518791,680.8314343049069,59.30029286618925,18.283292194821065,26.813805796259942,0.958318736440513,0.0007084932943252301,1.2466156737768601,-0.14090301952306447,-10,0.962650229518887,4.617689484066555,0.0840923190644155
P008,True,170.66061242191375,315.1036146148404,321.2166168793673,120.07826777669626,647.097246295675,44.17533580954366,20.651063077060275,32.31367684021731,0.9193872393488922,0.0008445550477121042,1.4520093033519936,0.06146587500096953,6,1.1553809137686952,4.185572785620945,0.12653029638618535
P009,True,145.69806333425015,308.3485662904766,395.3336152514321,97.14507174596658,532.0174945813959,41.33514914340797,21.356636817792875,28.18631767738218,0.978442721216915,0.0010262873858904896,1.1158060900561704,0.08230240747286738,12,1.0584520871318275,7.334854314894566,0.09435404048697493
P010,False,159.21741094891368,251.12505877745411,360.651856337858,129.80360541911818,604.2959576852248,46.12543795916254,17.352112422741694,34.862303536896135,0.9462385304663089,0.0007701501621049672,1.1767427277659368,-0.008403001162997636,7,0.9835144341327025,0.0,0.08939188382977775
P011,False,125.40412475672865,239.68270797944075,388.21296198118637,109.67619587416536,638.0971290587319,58.62907771613756,19.70879059268153,32.52836141683383,1.027580923314496,0.0010314130181479076,1.3989920469399326,0.0935617858846036,-13,1.226598910748776,0.0,0.09525189565126761
P012,True,157.32154683735845,231.8820868864118,353.0045849482266,103.97829879534518,582.8770499188901,40.10655336030214,22.320239011562144,33.34986637884307,0.9856216118013783,0.000866488421863133,1.3665179431824914,-0.11368083335076894,-4,0.7895934393574202,7.625274739786488,0.12064422441459735
P013,True,173.34662250559825,276.93225804987054,382.5927244812612,94.24773093483597,614.1352336833758,54.860231589046045,20.541069600285628,24.35488281376522,1.071511450892067,0.0011972235374087948,1.5721731234698049,-0.04101729865027494,-7,1.0934384871019285,5.8812494101714865,0.11689528201051137
P014,False,130.44858995423658,257.96629433973277,270.8545564324798,92.40311803641643,560.2186293625441,55.02437764836324,19.357898120880826,27.156609597650675,0.9380341337266402,0.0009249686567468991,1.5287902681337888,0.029468959050055643,2,0.7627853988662117,0.0,0.07895233082040415
P015,True,148.0266066574801,243.2950574701976,403.0329442178844,116.56534923140909,511.953144343722,57.97838792011967,18.91906785279838,30.352457058435792,0.8793478740698081,0.0012821187234029687,1.4474666703658035,-0.07554754707234035,8,0.824471299591589,5.547271112885392,0.10529760931075821
P016,True,161.0980684445424,271.6015696724451,287.3966542139856,125.76118400363308,678.2373199574683,49.13226104622399,21.944342491884065,28.398111603190493,1.0580782955098667,0.001240845207218171,1.0104420692326008,-0.035843632896904065,11,0.8966361947896713,5.1053350548009675,0.0855754535892088
P017,False,120.25561921080218,231.25886499920523,368.56992939228337,122.01107611705812,631.1668495780616,42.90995213922436,17.206899597822776,25.218494173591367,1.0011854429126883,0.0012329818154240397,1.201458397529862,0.04590630544484317,-2,0.9274349400864039,0.0,0.1199324152194585
P018,False,169.00424908648466,262.53739101256866,278.4821278797908,115.14846859318556,496.5298116910977,48.49547376297777,20.037498517329617,33.68932102390667,0.8955065213178522,0.0011633789156938286,1.0528976538668682,-0.10311734469790264,-9,1.1079237761689387,0.0,0.1095357540500064
P019,False,153.92357701750439,301.5550624226875,291.10559837990735,133.23369381846376,541.9501511103314,51.56328261076764,17.646927514520673,25.86412732720668,1.120306439791201,0.001125939223591792,1.2849777644139297,-0.01746972742281175,3,1.2078564163636014,0.0,0.1293129336622267
P020,False,138.63064138974448,323.1253475019238,341.53208689864834,124.00737827242887,563.8399120069037,52.52429507377407,21.585377861115262,35.81044256890152,1.1178962636650207,0.001078974645696546,1.4990082265052127,0.010579832560099284,-8,0.8688040109262161,0.0,0.07516621173817514
