experiment,obs,sim,use it
1,10015,,y
2,4264,,y
3,8567,,y
4,8200,,y
5,8400,,y
6,8423,,y
7,7650,,y
8,7459,,y
9,9191,,y
10,10669,,y
11,7949,,y
12,9135,,y
13,7132,,y
14,8381,,y
15,7724,,y
16,7057,,y
17,7262,,y
18,7050,,y
19,8600,,y
20,8200,,y
21,9460,,y
22,9200,,y
23,9240,,y
