run-id;use_vernalisation_fix;yields;daily-yields;bgr;pheno;sowing-date;harvest-date;nc_mode;crop-id;sim.json;crop.json;site.json;incl_hist;climate_path_to_latlon_file;climate_path_to_csvs;gcm;rcm;scenario;ensmem;version;start_date;end_date;groundwater-level;impenetrable-layer;elevation;slope;latitude;landcover;fertilization;NitrogenResponseOn;irrigation;WaterDeficitResponseOn;EmergenceMoistureControlOn;EmergenceFloodingControlOn;LeafExtensionModifier;CO2;O3;FieldConditionModifier;StageTemperatureSum;comment
1;true;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim_historic.json;crop_historic.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;2010-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;true;false;false;false;;;1;149_276_336_112_586_15;historic_runs_observation
2;true;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim_historic.json;crop_historic.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;2010-01-01;2024-08-29;false;false;true;true;true;false;true;false;false;true;false;false;false;;;1;149_276_336_112_586_15;historic_runs_no_nitrogen_limitation
3;true;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim_historic.json;crop_historic.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;2010-01-01;2024-08-29;false;false;true;true;true;false;true;true;false;false;false;false;false;;;1;149_276_336_112_586_15;historic_runs_no_water_limitation
4;true;true;true;false;false;fixed;auto;false;WW_sfix_hauto;sim_historic.json;crop_historic.json;site.json;false;dwd/csvs;dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30;;;;;;2010-01-01;2024-08-29;false;false;true;true;true;false;true;false;false;false;false;false;false;;;1;149_276_336_112_586_15;historic_runs_potential
