crow,ccol,relative_path,full_path,bkr_ids,bkr_count,file_exists
344,488,344/daily_mean_RES1_C488R344.csv.gz,data\dwd\dwd\daily_mean_RES1_C488R344.csv.gz,104,1,True
350,212,350/daily_mean_RES1_C212R350.csv.gz,data\dwd\dwd\daily_mean_RES1_C212R350.csv.gz,191,1,True
369,206,369/daily_mean_RES1_C206R369.csv.gz,data\dwd\dwd\daily_mean_RES1_C206R369.csv.gz,143,1,True
373,350,373/daily_mean_RES1_C350R373.csv.gz,data\dwd\dwd\daily_mean_RES1_C350R373.csv.gz,192,1,True
382,104,382/daily_mean_RES1_C104R382.csv.gz,data\dwd\dwd\daily_mean_RES1_C104R382.csv.gz,142,1,True
390,398,390/daily_mean_RES1_C398R390.csv.gz,data\dwd\dwd\daily_mean_RES1_C398R390.csv.gz,107,1,True
403,214,403/daily_mean_RES1_C214R403.csv.gz,data\dwd\dwd\daily_mean_RES1_C214R403.csv.gz,134,1,True
452,476,452/daily_mean_RES1_C476R452.csv.gz,data\dwd\dwd\daily_mean_RES1_C476R452.csv.gz,108,1,True
461,40,461/daily_mean_RES1_C40R461.csv.gz,data\dwd\dwd\daily_mean_RES1_C40R461.csv.gz,141,1,True
465,274,465/daily_mean_RES1_C274R465.csv.gz,data\dwd\dwd\daily_mean_RES1_C274R465.csv.gz,132,1,True
469,218,469/daily_mean_RES1_C218R469.csv.gz,data\dwd\dwd\daily_mean_RES1_C218R469.csv.gz,133,1,True
489,395,489/daily_mean_RES1_C395R489.csv.gz,data\dwd\dwd\daily_mean_RES1_C395R489.csv.gz,111,1,True
489,507,489/daily_mean_RES1_C507R489.csv.gz,data\dwd\dwd\daily_mean_RES1_C507R489.csv.gz,195,1,True
500,391,500/daily_mean_RES1_C391R500.csv.gz,data\dwd\dwd\daily_mean_RES1_C391R500.csv.gz,194,1,True
531,78,531/daily_mean_RES1_C78R531.csv.gz,data\dwd\dwd\daily_mean_RES1_C78R531.csv.gz,129,1,True
534,279,534/daily_mean_RES1_C279R534.csv.gz,data\dwd\dwd\daily_mean_RES1_C279R534.csv.gz,193,1,True
552,235,552/daily_mean_RES1_C235R552.csv.gz,data\dwd\dwd\daily_mean_RES1_C235R552.csv.gz,130,1,True
558,114,558/daily_mean_RES1_C114R558.csv.gz,data\dwd\dwd\daily_mean_RES1_C114R558.csv.gz,128,1,True
569,459,569/daily_mean_RES1_C459R569.csv.gz,data\dwd\dwd\daily_mean_RES1_C459R569.csv.gz,196,1,True
598,304,598/daily_mean_RES1_C304R598.csv.gz,data\dwd\dwd\daily_mean_RES1_C304R598.csv.gz,113,1,True
602,453,602/daily_mean_RES1_C453R602.csv.gz,data\dwd\dwd\daily_mean_RES1_C453R602.csv.gz,112,1,True
604,38,604/daily_mean_RES1_C38R604.csv.gz,data\dwd\dwd\daily_mean_RES1_C38R604.csv.gz,127,1,True
640,202,640/daily_mean_RES1_C202R640.csv.gz,data\dwd\dwd\daily_mean_RES1_C202R640.csv.gz,121,1,True
663,390,663/daily_mean_RES1_C390R663.csv.gz,data\dwd\dwd\daily_mean_RES1_C390R663.csv.gz,114,1,True
678,248,678/daily_mean_RES1_C248R678.csv.gz,data\dwd\dwd\daily_mean_RES1_C248R678.csv.gz,123,1,True
710,485,710/daily_mean_RES1_C485R710.csv.gz,data\dwd\dwd\daily_mean_RES1_C485R710.csv.gz,116,1,True
741,187,741/daily_mean_RES1_C187R741.csv.gz,data\dwd\dwd\daily_mean_RES1_C187R741.csv.gz,198,1,True
751,453,751/daily_mean_RES1_C453R751.csv.gz,data\dwd\dwd\daily_mean_RES1_C453R751.csv.gz,117,1,True
753,368,753/daily_mean_RES1_C368R753.csv.gz,data\dwd\dwd\daily_mean_RES1_C368R753.csv.gz,115,1,True
755,241,755/daily_mean_RES1_C241R755.csv.gz,data\dwd\dwd\daily_mean_RES1_C241R755.csv.gz,122,1,True
809,206,809/daily_mean_RES1_C206R809.csv.gz,data\dwd\dwd\daily_mean_RES1_C206R809.csv.gz,120,1,True
847,324,847/daily_mean_RES1_C324R847.csv.gz,data\dwd\dwd\daily_mean_RES1_C324R847.csv.gz,199,1,True
