exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),Y-coord,X-coord,field_id,sowing_day,nfertilizer,irrigation,Sow_Y,Sow_M,Sow_D
1,data/sims/2_2016.json,data/crops/2_2016.json,data/sites/2_2016.json,daily_mean_RES1_C505R406.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.10070176,51.3358849,2,274,0,0,2016,9,29
2,data/sims/10_2016.json,data/crops/10_2016.json,data/sites/10_2016.json,daily_mean_RES1_C514R356.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.279261,51.779996,10,274,0,0,2016,9,28
3,data/sims/15_2016.json,data/crops/15_2016.json,data/sites/15_2016.json,daily_mean_RES1_C498R137.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.227606,53.753681,15,274,0,0,2016,9,28
4,data/sims/22_2016.json,data/crops/22_2016.json,data/sites/22_2016.json,daily_mean_RES1_C97R652.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,7.32528,49.18456,22,274,0,0,2016,10,8
5,data/sims/23_2016.json,data/crops/23_2016.json,data/sites/23_2016.json,daily_mean_RES1_C364R212.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.15714522,53.12736014,23,274,0,0,2016,9,24
6,data/sims/55_2020.json,data/crops/55_2020.json,data/sites/55_2020.json,daily_mean_RES1_C157R525.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.13189,50.33433,55,274,0,0,2020,10,12
7,data/sims/55_2016.json,data/crops/55_2016.json,data/sites/55_2016.json,daily_mean_RES1_C157R525.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.13189,50.33433,55,274,0,0,2016,9,28
8,data/sims/56_2020.json,data/crops/56_2020.json,data/sites/56_2020.json,daily_mean_RES1_C426R511.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.90896996,50.42544752,56,274,0,0,2020,10,7
9,data/sims/56_2016.json,data/crops/56_2016.json,data/sites/56_2016.json,daily_mean_RES1_C426R511.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.90896996,50.42544752,56,274,0,0,2016,10,2
10,data/sims/57_2016.json,data/crops/57_2016.json,data/sites/57_2016.json,daily_mean_RES1_C423R510.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.86338449,50.43329333,57,274,0,0,2016,10,2
11,data/sims/64_2020.json,data/crops/64_2020.json,data/sites/64_2020.json,daily_mean_RES1_C415R509.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.76408515,50.44786652,64,274,0,0,2020,9,19
12,data/sims/133_2020.json,data/crops/133_2020.json,data/sites/133_2020.json,daily_mean_RES1_C60R445.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.73079,51.03552,133,274,0,0,2020,11,17
13,data/sims/134_2016.json,data/crops/134_2016.json,data/sites/134_2016.json,daily_mean_RES1_C486R333.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.89084527,51.99828897,134,274,0,0,2016,10,6
14,data/sims/135_2016.json,data/crops/135_2016.json,data/sites/135_2016.json,daily_mean_RES1_C484R333.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.86172828,51.99569264,135,274,0,0,2016,9,30
15,data/sims/139_2016.json,data/crops/139_2016.json,data/sites/139_2016.json,daily_mean_RES1_C483R336.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.84334533,51.97721383,139,274,0,0,2016,10,20
16,data/sims/140_2016.json,data/crops/140_2016.json,data/sites/140_2016.json,daily_mean_RES1_C485R337.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.87224106,51.96125495,140,274,0,0,2016,9,16
17,data/sims/141_2016.json,data/crops/141_2016.json,data/sites/141_2016.json,daily_mean_RES1_C488R339.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.90693137,51.94785999,141,274,0,0,2016,10,8
18,data/sims/475_2016.json,data/crops/475_2016.json,data/sites/475_2016.json,daily_mean_RES1_C185R232.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.498544521,52.97461601,475,274,0,0,2016,10,21
19,data/sims/488_2020.json,data/crops/488_2020.json,data/sites/488_2020.json,daily_mean_RES1_C332R344.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.64631926,51.95598727,488,274,0,0,2020,10,1
20,data/sims/489_2020.json,data/crops/489_2020.json,data/sites/489_2020.json,daily_mean_RES1_C332R343.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.64113388,51.9595686,489,274,0,0,2020,11,22
21,data/sims/506_2016.json,data/crops/506_2016.json,data/sites/506_2016.json,daily_mean_RES1_C58R466.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.706671393,50.84196983,506,274,0,0,2016,11,3
22,data/sims/508_2020.json,data/crops/508_2020.json,data/sites/508_2020.json,daily_mean_RES1_C58R468.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.714371892,50.83172963,508,274,0,0,2020,10,19
23,data/sims/572_2016.json,data/crops/572_2016.json,data/sites/572_2016.json,daily_mean_RES1_C105R305.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,7.327622688,52.30662191,572,274,0,0,2016,10,17
