experiment,obs,sim,use it
1,7270,,y
2,10015,,y
3,4740,,y
4,7100,,y
5,8115,,y
6,2800,,y
7,4264,,y
8,3300,,y
9,7731,,y
10,8567,,y
11,7442,,y
12,4244,,y
13,8600,,y
14,9350,,y
15,8300,,y
16,8200,,y
17,10490,,y
18,8400,,y
19,9330,,y
20,8070,,y
21,9200,,y
22,5274,,y
23,4741,,y
24,3200,,y
25,5350,,y
26,8300,,y
27,8700,,y
28,7501,,y
29,6540,,y
30,4586,,y
31,8190,,y
32,8330,,y
33,7310,,y
34,8423,,y
35,7650,,y
36,7459,,y
37,9191,,y
38,10669,,y
39,9272,,y
40,6410,,y
41,7005,,y
42,9108,,y
43,9122,,y
44,7949,,y
45,8703,,y
46,8042,,y
47,8507,,y
48,7981,,y
49,9296,,y
50,8733,,y
51,4024,,y
52,6889,,y
53,9135,,y
54,8050,,y
55,5076,,y
56,7132,,y
57,5763,,y
58,8381,,y
59,5041,,y
60,5140,,y
61,5365,,y
62,7724,,y
63,4921,,y
64,7057,,y
65,5601,,y
66,7262,,y
67,4718,,y
68,5750,,y
69,4500,,y
70,6500,,y
71,6900,,y
72,7050,,y
73,8600,,y
74,8200,,y
75,3300,,y
76,11000,,y
77,9460,,y
78,9600,,y
79,9200,,y
80,9600,,y
81,9240,,y
