exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),Y-coord,X-coord,field_id,sowing_day,nfertilizer,irrigation,Sow_Y,Sow_M,Sow_D
1,data/sims/2_2019.json,data/crops/2_2019.json,data/sites/2_2019.json,daily_mean_RES1_C505R406.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.10070176,51.3358849,2,274,0,0,2019,10,30
2,data/sims/3_2018.json,data/crops/3_2018.json,data/sites/3_2018.json,daily_mean_RES1_C404R218.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.75081,53.06243,3,274,0,0,2018,10,23
3,data/sims/4_2018.json,data/crops/4_2018.json,data/sites/4_2018.json,daily_mean_RES1_C353R620.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.839829,49.471273,4,274,0,0,2018,9,27
4,data/sims/5_2018.json,data/crops/5_2018.json,data/sites/5_2018.json,daily_mean_RES1_C438R660.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.002205,49.082415,5,274,0,0,2018,10,13
5,data/sims/8_2018.json,data/crops/8_2018.json,data/sites/8_2018.json,daily_mean_RES1_C551R242.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.921776,52.775553,8,274,0,0,2018,10,5
6,data/sims/12_2017.json,data/crops/12_2017.json,data/sites/12_2017.json,daily_mean_RES1_C454R119.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.58304,53.932112,12,274,0,0,2017,9,10
7,data/sims/15_2019.json,data/crops/15_2019.json,data/sites/15_2019.json,daily_mean_RES1_C498R137.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.227606,53.753681,15,274,0,0,2019,9,24
8,data/sims/16_2019.json,data/crops/16_2019.json,data/sites/16_2019.json,daily_mean_RES1_C460R303.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.53627,52.28051,16,274,0,0,2019,10,9
9,data/sims/16_2017.json,data/crops/16_2017.json,data/sites/16_2017.json,daily_mean_RES1_C460R303.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.53627,52.28051,16,274,0,0,2017,10,1
10,data/sims/18_2018.json,data/crops/18_2018.json,data/sites/18_2018.json,daily_mean_RES1_C203R255.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.7646,52.7674,18,274,0,0,2018,10,3
11,data/sims/19_2019.json,data/crops/19_2019.json,data/sites/19_2019.json,daily_mean_RES1_C202R255.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.7526,52.767,19,274,0,0,2019,10,14
12,data/sims/22_2018.json,data/crops/22_2018.json,data/sites/22_2018.json,daily_mean_RES1_C97R652.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,7.32528,49.18456,22,274,0,0,2018,10,24
13,data/sims/23_2019.json,data/crops/23_2019.json,data/sites/23_2019.json,daily_mean_RES1_C364R212.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.15714522,53.12736014,23,274,0,0,2019,10,7
14,data/sims/24_2019.json,data/crops/24_2019.json,data/sites/24_2019.json,daily_mean_RES1_C363R212.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.1480841,53.13451109,24,274,0,0,2019,10,15
15,data/sims/24_2018.json,data/crops/24_2018.json,data/sites/24_2018.json,daily_mean_RES1_C363R212.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.1480841,53.13451109,24,274,0,0,2018,10,9
16,data/sims/25_2019.json,data/crops/25_2019.json,data/sites/25_2019.json,daily_mean_RES1_C324R144.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.589314,53.753271,25,274,0,0,2019,9,28
17,data/sims/27_2017.json,data/crops/27_2017.json,data/sites/27_2017.json,daily_mean_RES1_C411R385.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.77021,51.56218,27,274,0,0,2017,10,10
18,data/sims/28_2018.json,data/crops/28_2018.json,data/sites/28_2018.json,daily_mean_RES1_C413R386.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.79681,51.55199,28,274,0,0,2018,10,4
19,data/sims/28_2017.json,data/crops/28_2017.json,data/sites/28_2017.json,daily_mean_RES1_C413R386.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.79681,51.55199,28,274,0,0,2017,10,11
20,data/sims/30_2017.json,data/crops/30_2017.json,data/sites/30_2017.json,daily_mean_RES1_C311R534.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.290973,50.25119,30,274,0,0,2017,9,29
21,data/sims/40_2019.json,data/crops/40_2019.json,data/sites/40_2019.json,daily_mean_RES1_C60R445.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.732818,51.036809,40,274,0,0,2019,10,28
22,data/sims/41_2019.json,data/crops/41_2019.json,data/sites/41_2019.json,daily_mean_RES1_C506R155.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,13.32582192,53.58930297,41,274,0,0,2019,9,16
