exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),Y-coord,X-coord,field_id,sowing_day,nfertilizer,irrigation,Sow_Y,Sow_M,Sow_D
23,data/sims/43_2018.json,data/crops/43_2018.json,data/sites/43_2018.json,daily_mean_RES1_C564R285.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,14.059798,52.388151,43,274,0,0,2018,10,7
24,data/sims/44_2018.json,data/crops/44_2018.json,data/sites/44_2018.json,daily_mean_RES1_C563R277.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,14.054079,52.45801,44,274,0,0,2018,9,30
25,data/sims/45_2017.json,data/crops/45_2017.json,data/sites/45_2017.json,daily_mean_RES1_C426R107.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.1598719,54.05211276,45,274,0,0,2017,10,16
26,data/sims/46_2019.json,data/crops/46_2019.json,data/sites/46_2019.json,daily_mean_RES1_C228R235.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,9.132432,52.9412727,46,274,0,0,2019,10,29
27,data/sims/46_2018.json,data/crops/46_2018.json,data/sites/46_2018.json,daily_mean_RES1_C228R235.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,9.132432,52.9412727,46,274,0,0,2018,10,5
28,data/sims/46_2017.json,data/crops/46_2017.json,data/sites/46_2017.json,daily_mean_RES1_C228R235.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,9.132432,52.9412727,46,274,0,0,2017,9,29
29,data/sims/58_2018.json,data/crops/58_2018.json,data/sites/58_2018.json,daily_mean_RES1_C424R509.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.8874782,50.44570516,58,274,0,0,2018,9,30
30,data/sims/60_2019.json,data/crops/60_2019.json,data/sites/60_2019.json,daily_mean_RES1_C421R514.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.83976202,50.39896648,60,274,0,0,2019,10,3
31,data/sims/61_2018.json,data/crops/61_2018.json,data/sites/61_2018.json,daily_mean_RES1_C416R512.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.7659617,50.42451337,61,274,0,0,2018,9,27
32,data/sims/62_2017.json,data/crops/62_2017.json,data/sites/62_2017.json,daily_mean_RES1_C417R510.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.78126274,50.44258089,62,274,0,0,2017,10,8
33,data/sims/63_2017.json,data/crops/63_2017.json,data/sites/63_2017.json,daily_mean_RES1_C417R509.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.78018012,50.44639579,63,274,0,0,2017,10,9
34,data/sims/64_2017.json,data/crops/64_2017.json,data/sites/64_2017.json,daily_mean_RES1_C415R509.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.76408515,50.44786652,64,274,0,0,2017,10,9
35,data/sims/65_2017.json,data/crops/65_2017.json,data/sites/65_2017.json,daily_mean_RES1_C413R513.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,11.7319047,50.41120154,65,274,0,0,2017,10,8
36,data/sims/66_2019.json,data/crops/66_2019.json,data/sites/66_2019.json,daily_mean_RES1_C360R475.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.99276978,50.76675109,66,274,0,0,2019,10,1
37,data/sims/67_2019.json,data/crops/67_2019.json,data/sites/67_2019.json,daily_mean_RES1_C307R444.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.25867584,51.0550943,67,274,0,0,2019,10,17
38,data/sims/67_2018.json,data/crops/67_2018.json,data/sites/67_2018.json,daily_mean_RES1_C307R444.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.25867584,51.0550943,67,274,0,0,2018,10,2
39,data/sims/67_2017.json,data/crops/67_2017.json,data/sites/67_2017.json,daily_mean_RES1_C307R444.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,10.25867584,51.0550943,67,274,0,0,2017,9,10
40,data/sims/72_2018.json,data/crops/72_2018.json,data/sites/72_2018.json,daily_mean_RES1_C442R203.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.33156,53.185907,72,274,0,0,2018,10,13
41,data/sims/102_2019.json,data/crops/102_2019.json,data/sites/102_2019.json,daily_mean_RES1_C446R201.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.395452,53.199833,102,274,0,0,2019,9,12
42,data/sims/133_2017.json,data/crops/133_2017.json,data/sites/133_2017.json,daily_mean_RES1_C60R445.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.73079,51.03552,133,274,0,0,2017,10,18
43,data/sims/134_2018.json,data/crops/134_2018.json,data/sites/134_2018.json,daily_mean_RES1_C486R333.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.89084527,51.99828897,134,274,0,0,2018,10,22
44,data/sims/135_2018.json,data/crops/135_2018.json,data/sites/135_2018.json,daily_mean_RES1_C484R333.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.86172828,51.99569264,135,274,0,0,2018,10,20
45,data/sims/137_2017.json,data/crops/137_2017.json,data/sites/137_2017.json,daily_mean_RES1_C483R335.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.83844773,51.98617372,137,274,0,0,2017,10,3
46,data/sims/138_2017.json,data/crops/138_2017.json,data/sites/138_2017.json,daily_mean_RES1_C483R335.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.83562961,51.9840288,138,274,0,0,2017,10,4
47,data/sims/139_2018.json,data/crops/139_2018.json,data/sites/139_2018.json,daily_mean_RES1_C483R336.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.84334533,51.97721383,139,274,0,0,2018,9,19
48,data/sims/140_2018.json,data/crops/140_2018.json,data/sites/140_2018.json,daily_mean_RES1_C485R337.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.87224106,51.96125495,140,274,0,0,2018,10,24
49,data/sims/141_2018.json,data/crops/141_2018.json,data/sites/141_2018.json,daily_mean_RES1_C488R339.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.90693137,51.94785999,141,274,0,0,2018,10,15
50,data/sims/142_2017.json,data/crops/142_2017.json,data/sites/142_2017.json,daily_mean_RES1_C487R334.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.90178679,51.98939671,142,274,0,0,2017,9,26
51,data/sims/143_2018.json,data/crops/143_2018.json,data/sites/143_2018.json,daily_mean_RES1_C488R334.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.9108196,51.98757244,143,274,0,0,2018,10,9
52,data/sims/144_2017.json,data/crops/144_2017.json,data/sites/144_2017.json,daily_mean_RES1_C486R335.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,12.88735672,51.98216122,144,274,0,0,2017,10,20
53,data/sims/474_2018.json,data/crops/474_2018.json,data/sites/474_2018.json,daily_mean_RES1_C187R226.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.515850316,53.02665816,474,274,0,0,2018,9,29
54,data/sims/475_2019.json,data/crops/475_2019.json,data/sites/475_2019.json,daily_mean_RES1_C185R232.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.498544521,52.97461601,475,274,0,0,2019,10,20
55,data/sims/499_2017.json,data/crops/499_2017.json,data/sites/499_2017.json,daily_mean_RES1_C162R303.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,8.163072229,52.32637491,499,274,0,0,2017,10,18
56,data/sims/506_2018.json,data/crops/506_2018.json,data/sites/506_2018.json,daily_mean_RES1_C58R466.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.706671393,50.84196983,506,274,0,0,2018,10,18
57,data/sims/507_2019.json,data/crops/507_2019.json,data/sites/507_2019.json,daily_mean_RES1_C57R466.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.69756041,50.84458248,507,274,0,0,2019,10,14
58,data/sims/508_2017.json,data/crops/508_2017.json,data/sites/508_2017.json,daily_mean_RES1_C58R468.txt,data/params/crops/species/wheat.json,data/params/crops/cultivars/winter-wheat_bs_dwd_pheno.json,0,WW,6.714371892,50.83172963,508,274,0,0,2017,10,18
