exp_ID,value,sim,use it
1,281.3534241,,y
1,82.42830658,,y
1,150.0418549,,y
1,164.0418549,,y
1,202.5874634,,y
2,283.5240173,,y
2,91.57238007,,y
2,147.4840698,,y
2,161.4840698,,y
2,207.124527,,y
3,285.71698,,y
3,95.09972382,,y
3,144.0639038,,y
3,158.0639038,,y
3,198.9882202,,y
4,291.1118164,,y
4,99.29820251,,y
4,140.177948,,y
4,154.177948,,y
4,200.7788696,,y
5,297.0573425,,y
5,98.58753967,,y
5,144.6375427,,y
5,158.6375427,,y
5,200.471756,,y
6,284.3755798,,y
6,93.44474792,,y
6,142.2641907,,y
6,156.2641907,,y
6,198.1347351,,y
7,290.1517944,,y
7,80.18596649,,y
7,145.8521118,,y
7,159.8521118,,y
7,211.2211914,,y
8,272.9348145,,y
8,77.10836029,,y
8,146.4987488,,y
8,160.4987488,,y
8,225.6980286,,y
9,285.4685364,,y
9,91.97872162,,y
9,143.0870972,,y
9,157.0870972,,y
9,210.1054993,,y
10,275.5124207,,y
10,83.5591507,,y
10,147.8253326,,y
10,161.8253326,,y
10,207.2399597,,y
11,296.4277954,,y
11,86.96729279,,y
11,146.0612488,,y
11,160.0612488,,y
11,197.3190765,,y
12,288.3529358,,y
12,91.68925476,,y
12,147.6760559,,y
12,161.6760559,,y
12,204.7173767,,y
13,296.3794556,,y
13,99.57668304,,y
13,145.8762054,,y
13,159.8762054,,y
13,201.7553253,,y
14,298.7626343,,y
14,92.29572296,,y
14,149.907196,,y
14,163.907196,,y
14,208.5211029,,y
15,301.9292297,,y
15,98.72871399,,y
15,139.1999512,,y
15,153.1999512,,y
15,201.6780548,,y
16,302.315033,,y
16,101.8424911,,y
16,148.1681976,,y
16,162.1681976,,y
16,216.5234985,,y
17,287.3619995,,y
17,84.28455353,,y
17,148.0210419,,y
17,162.0210419,,y
17,211.6519623,,y
18,293.1993103,,y
18,94.98491669,,y
18,149.0118561,,y
18,163.0118561,,y
18,224.8323212,,y
19,287.1095581,,y
19,84.28455353,,y
19,148.0529938,,y
19,162.0529938,,y
19,211.6713104,,y
20,288.2049561,,y
20,97.55244446,,y
20,145.1872101,,y
20,159.1872101,,y
20,203.7947845,,y
21,287.0011292,,y
21,88.40171051,,y
21,147.7232666,,y
21,161.7232666,,y
21,209.553299,,y
22,282.4554749,,y
22,94.21060181,,y
22,147.2117462,,y
22,161.2117462,,y
22,213.1933289,,y
23,294.328064,,y
23,107.3114777,,y
23,140.151947,,y
23,154.151947,,y
23,192.7085724,,y
24,285.918396,,y
24,92.22411346,,y
24,146.6945343,,y
24,160.6945343,,y
24,212.1394806,,y
25,285.5919189,,y
25,96.87284851,,y
25,151.3718872,,y
25,165.3718872,,y
25,209.6322784,,y
26,302.3388062,,y
26,80.38316345,,y
26,143.2011414,,y
26,157.2011414,,y
26,204.2909546,,y
27,277.3666077,,y
27,95.34796143,,y
27,145.3391113,,y
27,159.3391113,,y
27,206.9623718,,y
28,292.16922,,y
28,98.23213196,,y
28,143.3286896,,y
28,157.3286896,,y
28,194.7097931,,y
29,285.4196167,,y
29,99.53489685,,y
29,143.7095795,,y
29,157.7095795,,y
29,196.7018433,,y
30,281.1495361,,y
30,91.99241638,,y
30,155.3513947,,y
30,169.3513947,,y
30,220.8729095,,y
31,305.5420837,,y
31,78.43109131,,y
31,144.907959,,y
31,158.907959,,y
31,206.3467407,,y
32,293.3696594,,y
32,92.13622284,,y
32,142.3948517,,y
32,156.3948517,,y
32,200.0559998,,y
33,295.809906,,y
33,84.29792023,,y
33,149.6569519,,y
33,163.6569519,,y
33,220.2384949,,y
34,296.943512,,y
34,91.36528015,,y
34,140.4903717,,y
34,154.4903717,,y
34,204.2967072,,y
35,302.1937256,,y
35,89.47187805,,y
35,144.4884338,,y
35,158.4884338,,y
35,211.420166,,y
36,293.4064331,,y
36,99.47264099,,y
36,140.4485779,,y
36,154.4485779,,y
36,220.2349701,,y
37,285.2305908,,y
37,99.86940002,,y
37,160.5857086,,y
37,174.5857086,,y
37,225.685379,,y
38,287.276062,,y
38,105.5530319,,y
38,159.1432495,,y
38,173.1432495,,y
38,228.3816986,,y
39,285.618042,,y
39,106.7655869,,y
39,143.3319244,,y
39,157.3319244,,y
39,210.3621368,,y
40,291.6110535,,y
40,106.8919373,,y
40,153.9198456,,y
40,167.9198456,,y
40,215.3609619,,y
41,290.07724,,y
41,105.1906738,,y
41,144.4605865,,y
41,158.4605865,,y
41,215.4583588,,y
42,295.7916565,,y
42,107.1419067,,y
42,154.6113434,,y
42,168.6113434,,y
42,227.5569763,,y
43,295.7916565,,y
43,107.1419067,,y
43,154.6113434,,y
43,168.6113434,,y
43,227.5569763,,y
44,298.538147,,y
44,105.620575,,y
44,145.6891785,,y
44,159.6891785,,y
44,223.1922913,,y
45,295.7916565,,y
45,107.1419067,,y
45,154.6113434,,y
45,168.6113434,,y
45,227.5569763,,y
46,295.6416321,,y
46,110.3689651,,y
46,155.2552795,,y
46,169.2552795,,y
46,229.8730621,,y
47,289.0622864,,y
47,97.03143311,,y
47,148.4426727,,y
47,162.4426727,,y
47,207.2214661,,y
48,290.6839905,,y
48,92.62857056,,y
48,152.20961,,y
48,166.20961,,y
48,217.2949219,,y
49,282.6296692,,y
49,97.08459473,,y
49,145.4266205,,y
49,159.4266205,,y
49,201.0453186,,y
50,290.4829407,,y
50,93.71251678,,y
50,151.982666,,y
50,165.982666,,y
50,217.6523895,,y
51,286.3098145,,y
51,102.2709961,,y
51,147.2344818,,y
51,161.2344818,,y
51,205.5024109,,y
52,295.0580444,,y
52,91.01346588,,y
52,148.9694672,,y
52,162.9694672,,y
52,211.839386,,y
53,306.5472717,,y
53,84.85481262,,y
53,133.2608185,,y
53,147.2608185,,y
53,201.0388794,,y
54,299.34375,,y
54,88.90940094,,y
54,141.680603,,y
54,155.680603,,y
54,201.850769,,y
55,293.3381653,,y
55,94.83721924,,y
55,140.9066925,,y
55,154.9066925,,y
55,194.2369995,,y
